Movie_Title,Year,Director,Rating,Runtime,Censor,Total_Gross,main_genre
Needful Things,2022,Kenneth Branagh,6.3,127,UA,$340.23M,Crime
Turner & Hooch,2019,Steven Soderbergh,6.3,96,18,$340.23M,Comedy
Anon,2019,Lorene Scafaria,6.3,110,A,$104.96M,Comedy
Dom Hemingway,2015,Jon Watts,6.3,88,R,$0.13M,Crime
Extract,2013,Luc Besson,6.3,111,A,$36.92M,Comedy
Duplicity,2014,Sean Anders,6.3,108,A,$54.45M,Comedy
The Killer Inside Me,2015,Billy Ray,6.3,111,PG-13,$20.18M,Crime
The Oxford Murders,2014,Marjane Satrapi,6.3,103,R,$340.23M,Comedy
The Invisible,2011,Rob Minkoff,6.3,87,B,$0.00M,Comedy
Fun with Dick and Jane,2022,Steven Soderbergh,6.3,89,A,$340.23M,Crime
Hannibal Rising,2010,Shawn Levy,6.3,88,A,$98.71M,Comedy
Starsky & Hutch,2010,Andrew Jarecki,6.3,101,R,$0.58M,Crime
City by the Sea,2021,John Lee Hancock,6.3,128,A,$340.23M,Crime
Murder by Numbers,2005,Susan Stroman,6.3,134,PG-13,$19.38M,Comedy
The Mexican,2004,Renny Harlin,6.3,106,R,$4.48M,Crime
Snake Eyes,2002,Danny DeVito,6.3,109,R,$8.36M,Comedy
Baby's Day Out,2002,Carl Franklin,6.3,115,A,$41.54M,Crime
Airheads,2000,Neil LaBute,6.3,110,R,$25.17M,Comedy
Twins,2003,"Directors:Joel Coen, Ethan Coen",6.3,100,PG-13,$35.33M,Comedy
Get Hard,1998,Peter Berg,6.3,100,R,$9.80M,Comedy
The Gambler,1997,Danny Boyle,6.3,103,A,$4.27M,Comedy
Righteous Kill,1987,Danny DeVito,6.3,88,A,$57.92M,Comedy
Super Troopers 2,1980,Paul Schrader,6.3,117,A,$23.00M,Crime
Deception,2019,"Directors:Justin Benson, Aaron Moorhead",6.2,102,18,$340.23M,Crime
13,2017,Zak Hilditch,6.2,102,18,$340.23M,Crime
Birthday Girl,2021,James Wan,6.2,111,A,$340.23M,Crime
Tequila Sunrise,2016,"Directors:Courtney Hunt, Theresa A. Young",6.2,93,A,$340.23M,Crime
Dragnet,2015,Gilles Paquet-Brenner,6.2,113,R,$340.23M,Crime
Pink Flamingos,2013,Steven Knight,6.2,100,A,$0.03M,Action
The Captive,2012,Andrew Dominik,6.2,97,A,$15.03M,Crime
The Tall Man,2012,Stefan Ruzowitzky,6.2,95,R,$0.07M,Crime
Orphan: First Kill,2010,William Monahan,6.2,103,R,$0.01M,Crime
Pathology,2021,Paul Schrader,6.2,111,R,$340.23M,Crime
Saw IV,2008,Neil LaBute,6.2,110,B,$39.26M,Crime
P2,2007,Robert Redford,6.2,92,UA,$15.00M,Crime
Reno 911!: Miami,2008,Gregory Hoblit,6.2,101,R,$28.69M,Crime
Let's Go to Prison,2006,Darren Lynn Bousman,6.2,108,A,$80.24M,Crime
The X Files: I Want to Believe,2005,D.J. Caruso,6.2,122,UA,$22.86M,Crime
88 Minutes,2004,D.J. Caruso,6.2,103,R,$32.68M,Crime
Analyze That,2004,"Directors:Ethan Coen, Joel Coen",6.2,104,R,$39.80M,Comedy
Mickey Blue Eyes,2003,Marcus Nispel,6.2,98,A,$80.57M,Crime
The Last House on the Left,2002,Brian De Palma,6.2,114,R,$6.59M,Crime
The Hangover Part III,2001,Harald Zwart,6.2,93,R,$6.29M,Comedy
Saving Silverman,2001,David Mirkin,6.2,123,PG-13,$40.34M,Comedy
The Glass House,1995,Iain Softley,6.2,105,U,$7.56M,Crime
The Woman in the Window,1993,Fraser C. Heston,6.2,120,UA,$15.19M,Crime
Jigsaw,1989,Roger Spottiswoode,6.2,97,U,$71.08M,Comedy
Identity Thief,2018,Andrew Niccol,6.1,100,B,$340.23M,Crime
The Paperboy,2013,Richard Shepard,6.1,93,R,$0.52M,Comedy
Observe and Report,2009,Mike Judge,6.1,92,R,$10.81M,Comedy
Suburbicon,2009,Tony Gilroy,6.1,125,PG-13,$40.57M,Comedy
Perfect Stranger,2010,Michael Winterbottom,6.1,109,R,$0.21M,Crime
White Chicks,2008,_lex de la Iglesia,6.1,108,R,$0.00M,Adventure
Enough,2007,David S. Goyer,6.1,102,PG-13,$20.57M,Crime
101 Dalmatians,2005,Dean Parisot,6.1,90,UA,$110.33M,Comedy
The House,2007,Peter Webber,6.1,121,A,$27.67M,Adventure
Regression,2004,Todd Phillips,6.1,101,UA,$88.24M,Comedy
Runner Runner,2002,Michael Caton-Jones,6.1,108,A,$22.43M,Crime
Bad Santa 2,2002,Barbet Schroeder,6.1,115,A,$31.95M,Crime
The Black Dahlia,2001,Gore Verbinski,6.1,123,R,$66.81M,Adventure
Be Cool,1998,Brian De Palma,6.1,98,U,$55.59M,Crime
The Perfect Score,1994,Patrick Read Johnson,6.1,99,U,$16.67M,Adventure
Domestic Disturbance,1994,Michael Lehmann,6.1,92,A,$5.37M,Comedy
Jawbreaker,1993,John Badham,6.1,109,R,$30.04M,Action
Saw 3D,1988,Ivan Reitman,6.1,107,U,$111.94M,Comedy
The Stepfather,2015,Etan Cohen,6,100,R,$90.41M,Comedy
The Counselor,2014,Rupert Wyatt,6,111,R,$33.68M,Crime
The Hustle,2008,Jon Avnet,6,101,A,$40.08M,Crime
The Whole Ten Yards,2018,Jay Chandrasekhar,6,100,R,$30.62M,Comedy
Spring Breakers,2008,Marcel Langenegger,6,107,R,$4.60M,Crime
Trespass,2010,Géla Babluani,6,91,R,$340.23M,Crime
The Resident,2001,Jez Butterworth,6,93,UA,$4.92M,Comedy
Balls of Fury,1988,Robert Towne,6,115,A,$41.29M,Crime
The Watcher,1987,Tom Mankiewicz,6,106,U,$57.39M,Comedy
D-Tox,1972,John Waters,6,93,A,$0.18M,Comedy
A Nightmare on Elm Street,2014,Atom Egoyan,5.9,112,R,$340.23M,Crime
Paul Blart: Mall Cop,2012,Pascal Laugier,5.9,106,R,$340.23M,Crime
Bachchhan Paandey,2022,William Brent Bell,5.9,99,A,$340.23M,Crime
Spiral: From the Book of Saw,2008,Marc Schölermann,5.9,95,R,$0.11M,Crime
Big Momma's House,2007,Darren Lynn Bousman,5.9,93,R,$63.30M,Crime
Hot Pursuit,2007,Franck Khalfoun,5.9,98,R,$3.99M,Crime
The Snowman,2007,Robert Ben Garant,5.9,80,R,$20.34M,Comedy
Alex Cross,2006,Bob Odenkirk,5.9,84,R,$4.61M,Comedy
Cosmopolis,2008,Chris Carter,5.9,104,A,$20.98M,Crime
Miss Congeniality 2: Armed & Fabulous,2007,Jon Avnet,5.9,108,UA,$16.93M,Crime
Agent Cody Banks,2002,Harold Ramis,5.9,96,R,$32.12M,Comedy
Happy New Year,1999,"Directors:Kelly Makin, Carl Gottlieb",5.9,102,PG-13,$33.86M,Comedy
Charlie's Angels: Full Throttle,1972,Wes Craven,5.9,84,B,$3.10M,Crime
Blues Brothers 2000,2013,Todd Phillips,5.8,100,A,$112.20M,Comedy
Police Academy 4: Citizens on Patrol,2001,Dennis Dugan,5.8,90,UA,$19.35M,Comedy
Texas Chainsaw Massacre,2001,Daniel Sackheim,5.8,106,PG-13,$18.00M,Crime
Tekken,2021,Joe Wright,5.7,100,18,$340.23M,Crime
Crocodile Dundee in Los Angeles,2017,"Directors:Michael Spierig, Peter Spierig",5.7,92,A,$38.05M,Crime
The Spirit,2013,Seth Gordon,5.7,111,UA,$134.51M,Comedy
Big Momma's House 2,2012,Lee Daniels,5.7,107,R,$0.69M,Crime
Elektra,2009,Jody Hill,5.7,86,R,$23.99M,Comedy
Death Note,2017,George Clooney,5.7,105,A,$5.78M,Comedy
Home Alone 3,2007,James Foley,5.7,109,16,$23.98M,Crime
Striptease,2004,Keenen Ivory Wayans,5.7,109,A,$70.83M,Comedy
Police Academy 5: Assignment: Miami Beach,2002,Michael Apted,5.7,115,PG-13,$40.01M,Crime
Paul Blart: Mall Cop 2,1996,Stephen Herek,5.7,103,B,$136.19M,Adventure
"Big Mommas: Like Father, Like Son",2017,Andrew Jay Cohen,5.6,88,R,$25.48M,Comedy
Little Man,2015,Alejandro Amenábar,5.6,106,R,$0.05M,Adventure
xXx: State of the Union,2013,Brad Furman,5.6,88,R,$19.32M,Crime
Kangaroo Jack,2016,Mark Waters,5.6,92,R,$17.78M,Comedy
Police Academy 6: City Under Siege,2007,Dave Meyers,5.6,84,R,$16.47M,Crime
Torque,2006,Brian De Palma,5.6,121,R,$22.52M,Crime
Inspector Gadget,2006,Shawn Levy,5.6,93,U,$82.23M,Adventure
RoboCop 3,2005,F. Gary Gray,5.6,118,PG-13,$56.05M,Comedy
Holmes & Watson,2004,Brian Robbins,5.6,93,PG-13,$10.39M,Comedy
Speed 2: Cruise Control,2001,Harold Becker,5.6,89,B,$45.25M,Crime
Escape Plan 2: Hades,1999,William Malone,5.6,93,A,$40.85M,Crime
Catwoman,1999,Darren Stein,5.6,86,UA,$3.07M,Comedy
Police Academy: Mission to Moscow,2010,Kevin Greutert,5.5,90,R,$45.71M,Crime
Heropanti 2,2009,Nelson McCormick,5.5,101,A,$29.06M,Crime
Gigli,2013,Ridley Scott,5.4,117,R,$16.97M,Crime
Baby Geniuses,2019,Chris Addison,5.4,93,A,$35.42M,Comedy
Kod Adi K.O.Z.,2004,Howard Deutch,5.4,98,PG-13,$16.32M,Comedy
Race 3,2012,Harmony Korine,5.3,94,R,$14.12M,Crime
Radhe,2011,Joel Schumacher,5.3,91,R,$0.02M,Crime
Elk*rtuk,2011,Antti J. Jokinen,5.3,91,R,$340.23M,Crime
The Great Escape,2007,Robert Ben Garant,5.3,90,PG-13,$32.84M,Comedy
Da hong deng long gao gao gua,2000,Joe Charbanic,5.3,97,R,$28.93M,Crime
Kumonosu-jô,2002,Jim Gillespie,5.3,96,R,$0.08M,Crime
"Quo vadis, Aida?",2010,Samuel Bayer,5.2,95,A,$63.08M,Crime
JFK,2009,Steve Carr,5.2,91,PG,$20.82M,Action
Il gattopardo,2022,Farhad Samji,5.2,147,UA,$340.23M,Action
Bronenosets Potemkin,2021,Darren Lynn Bousman,5.2,93,A,$340.23M,Crime
Kagemusha,2000,Raja Gosnell,5.2,99,A,$117.56M,Action
All the President's Men,2015,Anne Fletcher,5.1,87,PG-13,$34.51M,Action
The Ten Commandments,2017,Tomas Alfredson,5.1,119,R,$6.67M,Crime
Under sandet,2012,Rob Cohen,5.1,101,PG-13,$25.89M,Action
The Man Who Would Be King,2012,David Cronenberg,5.1,109,R,$0.74M,Crime
The Trial of the Chicago 7,2005,John Pasquin,5.1,115,U,$48.48M,Action
Joyeux Noël,2003,Harald Zwart,5.1,102,U,$47.94M,Action
Apollo 13,2000,Stephen Kay,5.1,102,R,$14.97M,Action
Empire of the Sun,2014,Farah Khan,4.9,180,U,$340.23M,Action
Der Name der Rose,2003,McG,4.9,106,A,$100.83M,Action
Novecento,1998,John Landis,4.9,123,U,$13.98M,Action
Zulu,1987,Jim Drake,4.9,88,U,$28.06M,Comedy
Bridge of Spies,2022,David Blue Garcia,4.8,83,18,$340.23M,Crime
The Thin Red Line,2010,Dwight H. Little,4.8,91,R,$340.23M,Action
Gettysburg,2001,Simon Wincer,4.8,95,UA,$25.64M,Action
Lo imposible,2008,Frank Miller,4.7,103,PG-13,$19.78M,Action
Jin ling shi san chai,2006,John Whitesell,4.7,99,U,$70.17M,Comedy
"Se, jie",2005,Rob Bowman,4.7,97,UA,$24.41M,Action
No,2017,Adam Wingard,4.5,101,18,$340.23M,Crime
Zero Dark Thirty,2004,Tim Story,4.5,97,U,$36.61M,Action
The Mission,1997,Raja Gosnell,4.5,102,U,$30.88M,Action
Gallipoli,1996,Andrew Bergman,4.5,115,A,$33.11M,Comedy
A Bridge Too Far,1988,Alan Myerson,4.5,90,U,$4.24M,Comedy
Den 12. mann,2015,Andy Fickman,4.4,94,PG,$71.04M,Action
The Way Back,2011,John Whitesell,4.4,107,U,$37.92M,Action
Across the Universe,2006,Keenen Ivory Wayans,4.4,98,PG-13,$58.65M,Comedy
Troy,2005,Lee Tamahori,4.4,101,U,$26.87M,Action
Seabiscuit,2003,David McNally,4.4,89,U,$66.93M,Action
Thirteen Days,1989,Peter Bonerz,4.3,84,U,$11.57M,Comedy
Jesus Christ Superstar,2004,Joseph Kahn,4.1,84,PG-13,$21.22M,Action
The Death of Stalin,1999,David Kellogg,4.1,78,U,$97.40M,Action
The Physician,1993,Fred Dekker,4.1,104,UA,$10.70M,Action
Shattered Glass,2018,Etan Cohen,3.9,90,PG-13,$30.57M,Comedy
Cold Mountain,1997,Jan de Bont,3.9,121,UA,$48.61M,Action
The Courier,2018,Steven C. Miller,3.8,96,A,$340.23M,Action
Valkyrie,2004,Pitof,3.4,104,U,$40.20M,Action
Silence,1994,Alan Metter,3.4,83,U,$0.13M,Comedy
Shakespeare in Love,2022,Ahmed Khan,2.6,145,UA,$340.23M,Action
Padmaavat,2003,Martin Brest,2.6,121,U,$6.07M,Comedy
The Water Diviner,1999,Bob Clark,2.5,97,U,$27.14M,Comedy
Cool Runnings,2015,Celal _imen,2,114,B,$340.23M,Crime
The Bounty,2018,Remo D'Souza,1.9,160,UA,$1.69M,Action
Suffragette,2021,Prabhu Deva,1.9,135,UA,$340.23M,Action
The Crucible,2021,Keith English,1.5,125,B,$340.23M,Action
History of the World: Part I,1963,John Sturges,8.2,172,U,$12.10M,Adventure
The Good Shepherd,1991,Yimou Zhang,8.1,125,B,$2.60M,Drama
K-19: The Widowmaker,1957,Akira Kurosawa,8.1,110,U,$340.23M,Drama
Anna and the King,2020,Jasmila Zbanic,8,101,B,$340.23M,Drama
The Red Sea Diving Resort,1991,Oliver Stone,8,189,UA,$70.41M,Drama
Macbeth,1963,Luchino Visconti,8,186,B,$340.23M,Drama
The Monuments Men,1925,Sergei Eisenstein,8,75,B,$0.05M,Drama
World Trade Center,1980,Akira Kurosawa,7.9,180,U,$340.23M,Drama
Serena,1976,Alan J. Pakula,7.9,138,U,$70.60M,Drama
Caligola,1956,Cecil B. DeMille,7.9,220,U,$93.74M,Adventure
"10,000 BC",2015,Martin Zandvliet,7.8,100,R,$0.44M,Drama
The Prestige,1975,John Huston,7.8,129,U,$340.23M,Adventure
Apocalypse Now,2020,Aaron Sorkin,7.7,129,18,$340.23M,Drama
Psycho,2005,Christian Carion,7.7,116,PG-13,$1.05M,Drama
Rear Window,1995,Ron Howard,7.7,140,U,$173.84M,Adventure
The Lives of Others,1987,Steven Spielberg,7.7,153,U,$22.24M,Drama
Memento,1986,Jean-Jacques Annaud,7.7,130,UA,$7.15M,Drama
Incendies,1976,Bernardo Bertolucci,7.7,317,A,$340.23M,Drama
Vertigo,1964,Cy Endfield,7.7,138,U,$340.23M,Drama
Citizen Kane,2015,Steven Spielberg,7.6,142,UA,$72.31M,Drama
El secreto de sus ojos,1998,Terrence Malick,7.6,170,A,$36.40M,Drama
Shutter Island,1993,Ron Maxwell,7.6,271,PG,$10.77M,Drama
The Father,2012,J.A. Bayona,7.5,114,UA,$19.02M,Adventure
The Sixth Sense,2011,Yimou Zhang,7.5,146,R,$0.01M,Drama
The Thing,2007,Ang Lee,7.5,157,A,$4.60M,Drama
Chinatown,2012,Pablo Larraín,7.4,118,R,$2.34M,Drama
The Tashkent Files,2012,Kathryn Bigelow,7.4,157,A,$95.72M,Drama
Gone Girl,1986,Roland Joffé,7.4,125,UA,$17.22M,Adventure
Kahaani,1981,Peter Weir,7.4,110,B,$5.73M,Adventure
Harry Potter and the Deathly Hallows: Part 2,1977,Richard Attenborough,7.4,175,U,$50.80M,Drama
Trois couleurs: Rouge,2017,Harald Zwart,7.3,135,B,$340.23M,Drama
The Third Man,2010,Peter Weir,7.3,133,A,$2.70M,Adventure
Rebecca,2007,Julie Taymor,7.3,133,PG-13,$24.34M,Drama
The Blue Elephant,2004,Wolfgang Petersen,7.3,163,UA,$133.38M,Drama
Donnie Darko,2003,Gary Ross,7.3,140,U,$120.28M,Drama
Twelve Monkeys,2000,Roger Donaldson,7.3,145,PG-13,$34.59M,Drama
Solaris,1973,Norman Jewison,7.3,106,B,$24.48M,Drama
Anatomy of a Murder,2017,Armando Iannucci,7.2,107,R,$8.04M,Comedy
Das Cabinet des Dr. Caligari,2013,Philipp Stölzl,7.2,155,R,$340.23M,Adventure
Arrival,2003,Billy Ray,7.2,94,U,$2.22M,Drama
Darbareye Elly,2003,Anthony Minghella,7.2,154,A,$95.64M,Adventure
The Man from Earth,2020,Dominic Cooke,7.1,112,UA,$340.23M,Drama
Harry Potter and the Prisoner of Azkaban,2008,Bryan Singer,7.1,121,UA,$83.08M,Drama
Hable con ella,2016,Martin Scorsese,7.1,161,18,$7.10M,Drama
Mulholland Dr.,1998,John Madden,7.1,123,A,$100.32M,Comedy
Trois couleurs: Bleu,2018,Sanjay Leela Bhansali,7,164,UA,$11.85M,Drama
In the Heat of the Night,2014,Russell Crowe,7,111,R,$4.19M,Drama
Charade,1993,Jon Turteltaub,7,98,PG,$68.86M,Adventure
In a Lonely Place,1984,Roger Donaldson,7,132,A,$8.60M,Adventure
Laura,2015,Sarah Gavron,6.9,106,PG-13,$4.69M,Drama
The Thin Man,1996,Nicholas Hytner,6.8,124,A,$7.34M,Drama
Moon,1981,Mel Brooks,6.8,92,A,$31.67M,Comedy
Das wei_e Band - Eine deutsche Kindergeschichte,2006,Robert De Niro,6.7,167,R,$59.95M,Drama
Atonement,2002,Kathryn Bigelow,6.7,138,U,$35.17M,Drama
The Conversation,1999,Andy Tennant,6.7,148,U,$39.26M,Drama
L'avventura,2019,Gideon Raff,6.6,129,16,$340.23M,Drama
The Lady Vanishes,2015,Justin Kurzel,6.6,113,R,$1.11M,Drama
Get Out,2014,George Clooney,6.1,118,U,$78.03M,Comedy
Le passé,2006,Oliver Stone,6,129,U,$70.28M,Drama
Harry Potter and the Deathly Hallows: Part 1,2014,Susanne Bier,5.4,109,R,$0.18M,Drama
Harry Potter and the Goblet of Fire,1979,Tinto Brass,5.3,156,A,$23.44M,Drama
Abre los ojos,2008,Roland Emmerich,5.1,109,UA,$94.78M,Action
The Game,2006,Christopher Nolan,8.5,130,U,$53.09M,Drama
La double vie de Véronique,1979,Francis Ford Coppola,8.5,147,R,$83.47M,Drama
Spoorloos,1960,Alfred Hitchcock,8.5,109,A,$32.00M,Horror
Searching,1954,Alfred Hitchcock,8.5,112,U,$36.76M,Mystery
La piel que habito,2006,Florian Henckel von Donnersmarck,8.4,137,A,$11.29M,Drama
The Illusionist,2000,Christopher Nolan,8.4,113,UA,$25.54M,Mystery
Saw,2010,Denis Villeneuve,8.3,131,18,$6.86M,Drama
Un long dimanche de fiançailles,1958,Alfred Hitchcock,8.3,128,A,$3.20M,Mystery
The Others,1941,Orson Welles,8.3,119,UA,$1.59M,Drama
Le violon rouge,2009,Juan José Campanella,8.2,129,R,$6.39M,Drama
Dark City,2010,Martin Scorsese,8.2,138,A,$128.01M,Mystery
Lost Highway,2020,Florian Zeller,8.2,97,UA,$340.23M,Drama
The Birds,1999,M. Night Shyamalan,8.2,107,A,$293.51M,Drama
Beoning,1982,John Carpenter,8.2,109,A,$13.78M,Horror
Teströl és lélekröl,1974,Roman Polanski,8.2,130,UA,$8.49M,Drama
The Conjuring,2019,Vivek Agnihotri,8.1,134,UA,$340.23M,Drama
We Need to Talk About Kevin,2014,David Fincher,8.1,149,A,$167.77M,Drama
Hugo,2012,Sujoy Ghosh,8.1,122,UA,$1.04M,Mystery
Doubt,2011,David Yates,8.1,130,UA,$381.01M,Adventure
Eyes Wide Shut,1994,Krzysztof Kieslowski,8.1,99,U,$4.04M,Drama
The Devil's Advocate,1949,Carol Reed,8.1,104,U,$0.45M,Film-Noir
Contact,1940,Alfred Hitchcock,8.1,130,B,$4.36M,Drama
The Abyss,2014,Marwan Hamed,8,170,B,$340.23M,Drama
The Omen,2001,Richard Kelly,8,113,UA,$1.48M,Drama
Profondo rosso,1995,Terry Gilliam,8,129,A,$57.14M,Mystery
The Wicker Man,1972,Andrei Tarkovsky,8,167,U,$340.23M,Drama
Blow-Up,1972,Joseph L. Mankiewicz,8,138,B,$4.08M,Mystery
Spellbound,1959,Otto Preminger,8,161,A,$11.90M,Drama
Palm Springs,1920,Robert Wiene,8,76,B,$340.23M,Horror
The Lighthouse,2016,Denis Villeneuve,7.9,116,UA,$100.55M,Drama
Gi-eok-ui bam,2009,Asghar Farhadi,7.9,119,B,$0.11M,Drama
Durante la tormenta,2007,Richard Schenkman,7.9,87,B,$340.23M,Drama
Gokseong,2004,Alfonso Cuarón,7.9,142,U,$249.36M,Adventure
Remember,2002,Pedro Almodóvar,7.9,112,R,$9.28M,Drama
Dans la maison,2001,David Lynch,7.9,147,UA,$7.22M,Drama
Cloud Atlas,1993,Krzysztof Kieslowski,7.9,94,U,$1.32M,Drama
[Rec],1967,Norman Jewison,7.9,110,U,$24.38M,Drama
Bhool Bhulaiyaa,1963,Stanley Donen,7.9,113,U,$13.47M,Comedy
El orfanato,1950,Nicholas Ray,7.9,94,B,$340.23M,Drama
The Constant Gardener,1944,Otto Preminger,7.9,88,B,$4.36M,Drama
Harry Potter and the Chamber of Secrets,1934,W.S. Van Dyke,7.9,91,B,$340.23M,Comedy
K-PAX,2009,Duncan Jones,7.8,97,R,$5.01M,Drama
Scream,2009,Michael Haneke,7.8,144,UA,$2.22M,Drama
Jacob's Ladder,2007,Joe Wright,7.8,123,UA,$50.93M,Drama
Carrie,1974,Francis Ford Coppola,7.8,113,U,$4.42M,Drama
Picnic at Hanging Rock,1960,Michelangelo Antonioni,7.8,144,U,$340.23M,Drama
A Shot in the Dark,1938,Alfred Hitchcock,7.8,96,B,$340.23M,Mystery
To Catch a Thief,2017,Jordan Peele,7.7,104,15+,$176.04M,Horror
Hereditary,2013,Asghar Farhadi,7.7,130,PG-13,$1.33M,Drama
The Conjuring 2,2010,David Yates,7.7,146,UA,$295.98M,Adventure
I Origins,2005,Mike Newell,7.7,157,UA,$290.01M,Adventure
La cara oculta,1997,Alejandro Amenábar,7.7,119,U,$0.37M,Drama
Caché,1997,David Fincher,7.7,129,UA,$48.32M,Drama
Identity,1991,Krzysztof Kieslowski,7.7,98,R,$2.00M,Drama
Unbreakable,1988,George Sluizer,7.7,107,B,$340.23M,Mystery
Sleepy Hollow,2018,Aneesh Chaganty,7.6,102,U/A,$26.02M,Drama
Pi,2011,Pedro Almodóvar,7.6,120,R,$3.19M,Drama
Death and the Maiden,2006,Neil Burger,7.6,110,U,$39.87M,Drama
Manhattan Murder Mystery,2004,James Wan,7.6,103,A,$56.00M,Horror
Suspicion,2004,Jean-Pierre Jeunet,7.6,133,U,$6.17M,Drama
Coherence,2001,Alejandro Amenábar,7.6,101,13,$96.52M,Horror
10 Cloverfield Lane,1998,François Girard,7.6,130,R,$9.47M,Drama
The Fountain,1998,Alex Proyas,7.6,100,A,$14.38M,Fantasy
Broken Flowers,1997,David Lynch,7.6,134,A,$3.80M,Mystery
Gosford Park,1963,Alfred Hitchcock,7.6,119,A,$11.40M,Drama
Insomnia,2018,Lee Chang-dong,7.5,148,UA,$0.72M,Drama
Ringu,2017,Ildikó Enyedi,7.5,116,A,$340.23M,Drama
Cube,2013,James Wan,7.5,112,A,$137.40M,Horror
Twin Peaks: Fire Walk with Me,2011,Lynne Ramsay,7.5,112,R,$1.74M,Drama
Angel Heart,2011,Martin Scorsese,7.5,126,U,$73.86M,Adventure
The Changeling,2008,John Patrick Shanley,7.5,104,PG-13,$33.42M,Drama
Don't Look Now,1999,Stanley Kubrick,7.5,159,18,$55.69M,Drama
The Andromeda Strain,1997,Taylor Hackford,7.5,144,A,$60.98M,Drama
The Wolf Man,1997,Robert Zemeckis,7.5,150,U,$100.92M,Drama
Last Night in Soho,1989,James Cameron,7.5,140,U,$54.46M,Adventure
Black Mirror: Bandersnatch,1976,Richard Donner,7.5,111,A,$4.27M,Horror
Where the Crawdads Sing,1975,Dario Argento,7.5,127,B,$340.23M,Horror
Midsommar,1973,Robin Hardy,7.5,88,B,$0.06M,Horror
First Reformed,1966,Michelangelo Antonioni,7.5,111,A,$340.23M,Drama
Julieta,1945,Alfred Hitchcock,7.5,111,B,$7.00M,Film-Noir
Winter's Bone,2020,Max Barbakow,7.4,90,A,$340.23M,Comedy
Let Me In,2019,Robert Eggers,7.4,109,18,$0.43M,Drama
The Invisible Man,2017,Hang-jun Jang,7.4,108,16,$340.23M,Mystery
The Tragedy of Macbeth,2018,Oriol Paulo,7.4,128,18,$340.23M,Drama
Los cronocrímenes,2016,Na Hong-jin,7.4,156,B,$340.23M,Drama
The Jacket,2015,Atom Egoyan,7.4,94,R,$0.64M,Drama
"Janghwa, Hongryeon",2012,François Ozon,7.4,105,R,$0.35M,Drama
The Ring,2012,"Directors:Tom Tykwer, Lana Wachowski, Lilly Wachowski",7.4,172,A,$27.11M,Drama
_dishon,2007,"Directors:Jaume Balagueró, Paco Plaza",7.4,78,A,$340.23M,Horror
In the Mouth of Madness,2007,Priyadarshan,7.4,159,UA,$1.07M,Comedy
Black Christmas,2007,J.A. Bayona,7.4,105,R,$7.16M,Drama
Carnival of Souls,2005,Fernando Meirelles,7.4,129,U,$33.58M,Drama
Thelma,2002,Chris Columbus,7.4,161,U,$261.99M,Adventure
The Killing of a Sacred Deer,2001,Iain Softley,7.4,120,U,$50.34M,Drama
The Gift,1996,Wes Craven,7.4,111,A,$103.05M,Horror
The Words,1990,Adrian Lyne,7.4,113,A,$26.12M,Drama
Buried,1976,Brian De Palma,7.4,98,A,$33.80M,Horror
Prometheus,1975,Peter Weir,7.4,115,U,$0.23M,Drama
Tinker Tailor Soldier Spy,1964,Blake Edwards,7.4,102,PG,$12.37M,Comedy
The Cabin in the Woods,1955,Alfred Hitchcock,7.4,106,A,$8.75M,Mystery
Orphan,2018,Ari Aster,7.3,127,A,$44.07M,Drama
Shutter,2016,James Wan,7.3,134,UA,$102.47M,Horror
Holes,2014,Mike Cahill,7.3,106,R,$0.33M,Drama
The Thirteenth Floor,2011,Andrés Baiz,7.3,97,R,$340.23M,Drama
The X Files,2005,Michael Haneke,7.3,117,R,$3.63M,Drama
Basic Instinct,2003,James Mangold,7.3,90,A,$52.16M,Mystery
The Boys from Brazil,2000,M. Night Shyamalan,7.3,106,UA,$95.01M,Drama
"Alphaville, une étrange aventure de Lemmy Caution",1999,Tim Burton,7.3,105,UA,$101.07M,Fantasy
The Trouble with Harry,1998,Darren Aronofsky,7.3,84,R,$3.22M,Drama
Tully,1994,Roman Polanski,7.3,103,A,$2.10M,Drama
The VVitch: A New-England Folktale,1993,Woody Allen,7.3,104,PG,$11.29M,Comedy
Enemy,1941,Alfred Hitchcock,7.3,99,B,$4.50M,Film-Noir
Triangle,2013,James Ward Byrkit,7.2,89,B,$0.07M,Drama
Pig,2016,Dan Trachtenberg,7.2,103,A,$72.08M,Drama
Nope,2006,Darren Aronofsky,7.2,97,U,$10.14M,Drama
Extremely Loud & Incredibly Close,2005,Jim Jarmusch,7.2,106,UA,$13.74M,Comedy
Wicker Park,2001,Robert Altman,7.2,137,U,$41.31M,Comedy
Vanilla Sky,2002,Christopher Nolan,7.2,118,UA,$67.36M,Drama
Hearts in Atlantis,1998,Hideo Nakata,7.2,96,UA,$340.23M,Horror
Stir of Echoes,1997,Vincenzo Natali,7.2,90,UA,$0.50M,Drama
Presumed Innocent,1992,David Lynch,7.2,134,B,$4.16M,Drama
Us,1987,Alan Parker,7.2,113,A,$17.19M,Horror
The Autopsy of Jane Doe,1980,Peter Medak,7.2,107,UA,$340.23M,Horror
It Follows,1973,Nicolas Roeg,7.2,110,U,$0.98M,Drama
Mr. Holmes,1971,Robert Wise,7.2,131,U,$3.42M,Mystery
Annihilation,1941,George Waggner,7.2,70,B,$340.23M,Horror
The Babadook,2021,Edgar Wright,7.1,116,A,$340.23M,Drama
